,geometry,nIDC,nBLDG,heated_area,footprint_area,idc_norm,idc_norm_foot,idc_abs
0,"POLYGON ((2486300 1110700, 2486600 1110700, 2486600 1111000, 2486300 1111000, 2486300 1110700))",0.0,1.0,0.0,0.0,,,0.0
1,"POLYGON ((2486300 1111000, 2486600 1111000, 2486600 1111300, 2486300 1111300, 2486300 1111000))",0.0,4.0,0.0,0.0,,,0.0
2,"POLYGON ((2486300 1111300, 2486600 1111300, 2486600 1111600, 2486300 1111600, 2486300 1111300))",0.0,10.0,0.0,0.0,,,0.0
78,"POLYGON ((2486600 1110700, 2486900 1110700, 2486900 1111000, 2486600 1111000, 2486600 1110700))",1.0,2.0,482.0,138.77033593007633,0.13944444444444445,0.4843414247846828,67.21222222222222
79,"POLYGON ((2486600 1111000, 2486900 1111000, 2486900 1111300, 2486600 1111300, 2486600 1111000))",0.0,5.0,0.0,0.0,,,0.0
80,"POLYGON ((2486600 1111300, 2486900 1111300, 2486900 1111600, 2486600 1111600, 2486600 1111300))",0.0,1.0,0.0,0.0,,,0.0
81,"POLYGON ((2486600 1111600, 2486900 1111600, 2486900 1111900, 2486600 1111900, 2486600 1111600))",4.0,119.0,1367.5005655999769,374.9370627517611,0.0874967466561511,0.30925876223765486,115.95257194363157
82,"POLYGON ((2486600 1111900, 2486900 1111900, 2486900 1112200, 2486600 1112200, 2486600 1111900))",26.0,172.0,16342.318776181944,4908.322031846431,0.11240945122993802,0.37130304352749177,1822.4749090376224
100,"POLYGON ((2486600 1117300, 2486900 1117300, 2486900 1117600, 2486600 1117600, 2486600 1117300))",0.0,0.0,0.0,0.0,,,0.0
156,"POLYGON ((2486900 1110700, 2487200 1110700, 2487200 1111000, 2486900 1111000, 2486900 1110700))",0.0,0.0,0.0,0.0,,,0.0
157,"POLYGON ((2486900 1111000, 2487200 1111000, 2487200 1111300, 2486900 1111300, 2486900 1111000))",0.0,0.0,0.0,0.0,,,0.0
158,"POLYGON ((2486900 1111300, 2487200 1111300, 2487200 1111600, 2486900 1111600, 2486900 1111300))",0.0,0.0,0.0,0.0,,,0.0
159,"POLYGON ((2486900 1111600, 2487200 1111600, 2487200 1111900, 2486900 1111900, 2486900 1111600))",0.0,0.0,0.0,0.0,,,0.0
160,"POLYGON ((2486900 1111900, 2487200 1111900, 2487200 1112200, 2486900 1112200, 2486900 1111900))",16.0,23.0,9154.076541145923,2771.550179925265,0.08991661711964898,0.2701480546105606,748.7288893623596
