	loss	val_loss
32	21.91	35.66
17	26.79	35.84
38	20.48	35.93
21	24.94	36.07
54	18.83	36.19
16	27.27	36.27
45	19.71	36.29
33	21.34	36.29
29	22.65	36.49
24	23.86	36.56
18	26.15	36.63
43	19.96	36.70
44	19.90	36.75
41	20.11	36.76
25	23.37	36.96
30	22.22	37.05
42	20.05	37.05
15	28.10	37.10
40	20.26	37.31
20	25.34	37.34
46	19.95	37.39
14	28.92	37.60
27	23.00	37.60
50	19.54	37.61
13	30.11	37.63
48	19.39	37.64
31	22.18	37.74
49	18.90	37.76
19	25.50	37.78
26	23.27	37.91
37	20.88	37.92
39	20.52	38.23
36	20.96	38.27
55	18.57	38.36
56	18.74	38.37
57	18.68	38.37
52	19.31	38.61
10	32.77	38.98
53	18.73	39.04
6	38.43	39.22
4	41.55	39.24
22	24.42	39.50
51	19.00	39.88
23	24.54	40.11
35	20.96	40.48
2	45.81	40.69
8	35.34	40.75
34	21.51	41.18
12	31.07	41.45
11	31.90	42.04
7	36.37	42.14
5	40.03	42.57
47	19.39	42.92
3	43.43	43.68
9	33.87	44.42
1	49.28	46.62
28	22.40	48.20
0	66.42	53.44
