,set
148337,train
119839,train
96945,train
128412,train
131730,train
130203,train
69065,train
97420,train
179674,train
121280,train
137876,train
104617,train
126011,train
134563,train
100331,train
131705,train
80474,train
160216,train
124567,train
173995,train
122693,train
121262,train
139299,train
175995,train
114216,train
97913,train
94670,train
98543,train
140259,train
126941,train
173519,train
135549,train
112315,train
161165,train
115986,train
140264,train
103278,train
134564,train
94195,train
130761,train
138341,train
127481,train
115638,train
78457,train
100424,train
144543,train
141193,train
101377,train
109946,train
135971,train
122263,train
88011,train
100898,train
115120,train
142644,train
121748,train
173594,train
120836,train
131153,train
141208,train
20969,train
131718,train
124605,train
125994,train
135084,train
211569,train
127890,train
144075,train
141902,train
168273,train
163094,train
93721,train
17640,train
131709,train
125079,train
152073,train
137408,train
145016,train
137418,train
118367,train
128831,train
75229,train
132178,train
100900,train
131703,train
178746,train
135040,train
138835,train
116048,train
114631,train
125512,train
111724,train
117453,train
87590,train
117990,train
114206,train
18116,train
173996,train
84769,train
128852,train
99470,train
71926,train
165944,train
104098,train
131742,train
114135,train
134585,train
111239,train
131729,train
117517,train
135073,train
152586,train
137403,train
173976,train
145962,train
174451,train
171698,train
139794,train
89971,train
136501,train
114083,train
128883,train
114157,train
94154,train
71430,train
120369,train
132626,train
126985,train
136485,train
51477,train
127870,train
124135,train
139317,train
133173,train
124559,train
134581,train
103677,train
114679,train
83323,train
118368,train
98069,train
83818,train
98520,train
139314,train
125039,train
51478,train
126002,train
20492,train
122683,train
133619,train
127415,train
132177,train
138838,train
121743,train
124148,train
175530,train
119367,train
139312,train
138825,train
104211,train
173997,train
92197,train
108988,train
121717,train
145014,train
153060,train
111848,train
131257,train
127909,train
145481,train
135002,train
133175,train
99817,train
100285,train
127451,train
162091,train
134094,train
135036,train
132665,train
102803,train
20970,train
128361,train
128406,train
125070,train
101854,train
117483,train
120361,train
133595,train
121771,train
182080,train
127027,train
124090,train
139302,train
82374,train
131692,train
132625,train
145483,train
131724,train
128822,train
122758,train
145500,train
73342,train
122211,train
65267,train
110417,train
119369,train
159278,train
144537,train
121753,train
86197,train
131249,train
131676,train
151670,train
133141,train
136490,train
124595,train
139290,train
127005,train
119381,train
134097,train
151124,train
125488,train
132676,train
129844,train
117019,train
146447,train
85590,train
76189,train
127857,train
108366,train
144548,train
132646,train
124565,train
137872,train
97995,train
80949,train
129316,train
17644,train
120767,train
132164,train
139283,train
124139,train
100291,train
99473,train
143123,train
167323,train
116029,train
129343,train
122684,train
128379,train
134520,train
119811,train
127930,train
101708,train
106584,train
132645,train
134536,train
116584,train
162620,train
128365,train
101282,train
172545,train
125077,train
137416,train
