	loss	val_loss
11	43.63	43.42
14	41.88	43.64
23	36.33	43.69
34	32.20	44.16
27	34.20	44.39
16	39.42	44.82
19	38.24	45.26
32	33.09	45.44
35	32.32	45.59
26	34.54	45.72
29	33.84	45.79
9	44.61	45.81
25	34.32	46.29
28	34.03	46.33
24	35.43	46.41
7	46.32	46.44
17	38.82	46.58
20	38.06	46.68
30	33.50	46.73
21	37.00	46.88
31	33.36	46.90
12	43.64	46.95
13	42.08	47.27
36	31.91	47.92
6	47.78	47.96
4	51.33	48.14
10	44.31	48.34
15	40.49	48.44
5	47.97	48.56
18	39.52	48.70
33	32.92	49.28
2	55.52	49.33
3	52.68	49.56
8	46.40	51.67
1	57.01	53.37
22	36.71	54.20
0	71.69	57.76
