,set
124603,train
138354,train
83818,train
140406,train
129327,train
125550,train
128394,train
91232,train
145491,train
132672,train
133172,train
122193,train
125090,train
137870,train
139792,train
145495,train
123615,train
101854,train
114216,train
145484,train
135027,train
110381,train
83323,train
69064,train
114174,train
124627,train
99900,train
102770,train
121868,train
120331,train
98521,train
108478,train
144545,train
173997,train
160691,train
98516,train
121748,train
136014,train
75228,train
134096,train
103676,train
124615,train
114212,train
99817,train
134060,train
82374,train
98388,train
125056,train
153987,train
115570,train
78095,train
145685,train
134076,train
129376,train
114632,train
185018,train
127459,train
124608,train
102192,train
124559,train
156803,train
128368,train
128352,train
114173,train
126551,train
115550,train
126496,train
119841,train
20968,train
121277,train
115638,train
97418,train
129345,train
180147,train
121768,train
113622,train
131206,train
86671,train
120801,train
17166,train
124108,train
135989,train
139767,train
113731,train
128409,train
130250,train
89440,train
128373,train
173144,train
152586,train
140720,train
126940,train
99811,train
137914,train
142650,train
71446,train
117506,train
119885,train
145468,train
113739,train
126490,train
117042,train
170174,train
18115,train
120763,train
111720,train
135519,train
134589,train
130254,train
99335,train
115107,train
111726,train
110788,train
117533,train
125992,train
125532,train
122667,train
126003,train
131255,train
100423,train
136033,train
134122,train
113679,train
105521,train
132198,train
119838,train
85590,train
133594,train
114113,train
113274,train
71908,train
126523,train
132618,train
51004,train
129777,train
143594,train
134093,train
126485,train
88010,train
134118,train
132689,train
136941,train
122698,train
127420,train
128376,train
129816,train
135977,train
135045,train
109943,train
127418,train
51477,train
122620,train
20019,train
133620,train
117940,train
130768,train
195389,train
153568,train
159667,train
118844,train
94562,train
131675,train
128379,train
99899,train
120292,train
139293,train
99474,train
120289,train
130273,train
113268,train
144077,train
145969,train
80474,train
153094,train
117475,train
131257,train
148813,train
121255,train
121217,train
135476,train
147397,train
131267,train
93243,train
135088,train
131709,train
132673,train
134562,train
137882,train
101244,train
20969,train
129328,train
125582,train
126467,train
125074,train
84769,train
143116,train
174094,train
145947,train
133140,train
121787,train
117037,train
135089,train
103202,train
135062,train
123182,train
148798,train
139308,train
125499,train
131724,train
123164,train
124140,train
121738,train
73341,train
135996,train
64794,train
132631,train
127455,train
179700,train
96943,train
118418,train
135980,train
117006,train
142651,train
114630,train
124135,train
108990,train
212989,train
166379,train
134553,train
132677,train
146902,train
138827,train
132644,train
131705,train
114681,train
152147,train
117503,train
130789,train
126959,train
76188,train
142649,train
129317,train
116523,train
135552,train
137407,train
123162,train
136934,train
80949,train
133127,train
88051,train
17643,train
142165,train
132163,train
97896,train
142168,train
118466,train
138348,train
125564,train
133593,train
122683,train
182079,train
119383,train
113608,train
139790,train
94093,train
116999,train
111846,train
105039,train
120744,train
138838,train
121253,train
120844,train
130382,train
112322,train
134544,train
136034,train
93241,train
147870,train
144542,train
134565,train
135023,train
182555,train
136009,train
121249,train
128369,train
122222,train
49103,train
144539,train
80453,train
106043,train
127482,train
135067,train
161612,train
73682,train
123634,train
124561,train
87534,train
99950,train
139289,train
185019,train
130326,train
132192,train
120792,train
74753,train
144049,train
120745,train
119794,train
137883,train
136970,train
94667,train
124134,train
136465,train
107519,train
137864,train
86652,train
143539,train
158803,train
94567,train
130766,train
96136,train
88074,train
129844,train
134119,train
90758,train
115968,train
144522,train
99945,train
120774,train
131726,train
127911,train
132310,train
171150,train
115978,train
142644,train
106943,train
135978,train
145962,train
137893,train
127413,train
62358,train
65741,train
126477,train
132646,train
128869,train
134120,train
123144,train
162617,train
125568,train
124148,train
130280,train
130741,train
135075,train
98946,train
99336,train
131222,train
71903,train
94154,train
130288,train
93215,train
135558,train
119367,train
100335,train
138837,train
111810,train
49102,train
131729,train
132628,train
102712,train
114679,train
134134,train
100894,train
20020,train
131213,train
82841,train
123174,train
128844,train
149743,train
61940,train
164044,train
97516,train
125988,train
165944,train
131734,train
76185,train
163091,train
144547,train
109316,train
81900,train
120339,train
135540,train
120294,train
168273,train
113265,train
89036,train
75726,train
116553,train
132199,train
100895,train
123688,train
144548,train
170664,train
123199,train
128402,train
211569,train
185021,train
131269,train
127431,train
135065,train
122690,train
81911,train
131718,train
133143,train
137420,train
164519,train
20494,train
132153,train
121266,train
123640,train
147844,train
124602,train
135555,train
144538,train
132630,train
138834,train
117041,train
220138,train
98386,train
128361,train
100819,train
144738,train
146905,train
113678,train
141218,train
126489,train
143581,train
123096,train
120249,train
137387,train
135533,train
115054,train
66221,train
132645,train
90446,train
120298,train
148793,train
148067,train
132685,train
130325,train
124605,train
128883,train
127916,train
131743,train
138351,train
130748,train
143595,train
126002,train
118417,train
132232,train
134596,train
138843,train
133098,train
133618,train
145022,train
196814,train
126459,train
101376,train
117991,train
131700,train
129820,train
185026,train
86197,train
147396,train
133650,train
131256,train
138817,train
146449,train
136966,train
135072,train
118427,train
132193,train
130277,train
98861,train
84770,train
141203,train
136458,train
137868,train
126958,train
135504,train
140253,train
178746,train
135513,train
170175,train
179702,train
131214,train
76204,train
199263,train
83342,train
