	loss	val_loss
45	16.87	14.49
67	15.70	14.59
50	16.52	14.59
64	15.99	14.89
63	15.84	15.03
60	15.90	15.06
69	15.62	15.16
44	16.92	15.18
55	16.39	15.21
70	15.63	15.35
62	15.73	15.61
47	16.75	15.61
46	16.73	15.65
33	17.84	15.85
66	15.78	15.96
68	15.77	15.98
61	15.85	16.00
37	17.53	16.05
40	17.24	16.06
41	17.11	16.08
51	16.56	16.10
38	17.44	16.24
58	16.03	16.27
59	15.98	16.27
30	18.03	16.30
49	16.75	16.53
27	18.44	16.59
35	17.57	16.83
24	18.87	16.85
56	16.18	16.86
36	17.57	16.95
20	19.57	17.01
26	18.80	17.05
48	16.71	17.10
65	15.71	17.27
21	19.40	17.40
43	16.94	17.47
32	17.88	17.65
29	18.14	17.70
54	16.35	18.06
52	16.55	18.07
39	17.06	18.53
42	16.97	19.42
53	16.25	19.85
25	18.76	20.03
34	17.87	20.10
8	23.90	20.16
17	20.34	20.20
5	27.24	20.22
13	21.59	20.53
18	20.26	20.91
22	19.34	20.99
28	18.40	21.45
31	18.03	21.55
16	20.52	21.92
7	25.07	21.97
57	16.06	22.63
23	19.24	23.25
19	19.64	23.74
15	20.86	24.06
14	21.22	26.67
6	25.70	26.82
4	28.32	27.25
10	22.84	27.75
11	22.60	27.98
12	22.02	30.76
0	51.30	31.39
1	35.20	33.24
3	30.32	40.57
2	32.10	44.90
9	23.28	45.82
