,set
196814,train
131197,train
181602,train
139322,train
105137,train
127890,train
108995,train
153097,train
147596,train
145484,train
179222,train
144050,train
126931,train
103674,train
84163,train
125551,train
133640,train
134573,train
141700,train
124618,train
132185,train
100339,train
151188,train
120780,train
87059,train
102712,train
127425,train
125535,train
116079,train
122261,train
136027,train
114632,train
145950,train
133170,train
124109,train
84297,train
113732,train
195468,train
132619,train
147371,train
125070,train
142161,train
135019,train
110355,train
115161,train
129329,train
134136,train
174450,train
184541,train
73203,train
122230,train
140246,train
130777,train
132193,train
125023,train
182553,train
147388,train
116931,train
88011,train
106523,train
101708,train
133648,train
84286,train
125580,train
100760,train
133595,train
114208,train
121286,train
102728,train
116016,train
109466,train
127416,train
117028,train
130322,train
77511,train
124625,train
74657,train
137417,train
85228,train
95040,train
115157,train
129841,train
122673,train
131221,train
131704,train
121776,train
140724,train
121772,train
122239,train
133635,train
108365,train
127466,train
102254,train
121333,train
130754,train
87099,train
87141,train
130725,train
130280,train
127872,train
135475,train
133632,train
100330,train
132224,train
123644,train
118893,train
83343,train
121767,train
125512,train
120312,train
152599,train
145027,train
100901,train
113134,train
135969,train
137412,train
18592,train
99853,train
129838,train
118460,train
126047,train
124562,train
101760,train
117504,train
144062,train
141659,train
115014,train
95996,train
104145,train
178751,train
116046,train
26216,train
133629,train
126978,train
141218,train
173995,train
82864,train
101757,train
125112,train
84169,train
98953,train
119428,train
132698,train
126508,train
124597,train
128875,train
136513,train
139293,train
79414,train
123692,train
170645,train
133175,train
96053,train
77039,train
145026,train
125559,train
135073,train
122700,train
81911,train
72393,train
117019,train
106992,train
52427,train
116044,train
77510,train
119833,train
133102,train
93278,train
108480,train
121307,train
132691,train
138811,train
138838,train
94152,train
162145,train
95518,train
113681,train
129317,train
96943,train
124630,train
146446,train
94223,train
173019,train
95617,train
183028,train
153098,train
128395,train
65743,train
122236,train
127420,train
83328,train
134544,train
139780,train
19545,train
121308,train
164520,train
115573,train
133137,train
107946,train
108006,train
99385,train
88959,train
134543,train
137918,train
126061,train
107533,train
125964,train
83691,train
162143,train
73707,train
141196,train
142166,train
138823,train
124121,train
51952,train
116088,train
86672,train
137863,train
115162,train
139796,train
127414,train
131265,train
95513,train
95620,train
128335,train
148070,train
137920,train
115583,train
129825,train
126482,train
123616,train
130257,train
121793,train
163095,train
127952,train
123685,train
137416,train
117524,train
105632,train
116104,train
130745,train
142615,train
133151,train
84641,train
123221,train
114535,train
134050,train
125962,train
84763,train
144984,train
100334,train
83819,train
98948,train
128809,train
115054,train
106995,train
101375,train
170650,train
168272,train
107514,train
67170,train
145485,train
109428,train
140706,train
131243,train
119389,train
135548,train
121718,train
84274,train
121757,train
145963,train
132200,train
130264,train
133634,train
113733,train
125105,train
135560,train
114082,train
124561,train
103710,train
110311,train
173047,train
135522,train
115095,train
101376,train
105611,train
119401,train
123178,train
101286,train
131732,train
84291,train
173495,train
116095,train
120290,train
100811,train
141215,train
118888,train
114114,train
118426,train
104567,train
106521,train
131199,train
127005,train
96094,train
141181,train
126988,train
85591,train
146922,train
126526,train
119402,train
126970,train
