	loss	val_loss
58	26.31	33.74
78	23.74	34.02
76	23.70	34.04
34	31.69	34.08
74	23.76	34.17
75	24.18	34.40
56	26.37	34.40
52	27.09	34.46
54	26.90	34.61
59	25.94	34.70
62	25.33	34.76
51	27.64	34.93
23	35.63	35.03
63	25.38	35.09
68	25.04	35.17
61	25.69	35.19
82	23.33	35.53
77	23.86	35.58
60	25.56	35.61
81	23.39	35.65
40	29.69	35.74
70	24.63	35.81
26	33.45	36.08
24	34.67	36.10
53	26.44	36.11
45	28.90	36.18
18	37.79	36.21
65	24.51	36.26
41	29.49	36.26
48	28.15	36.34
27	33.79	36.43
42	29.06	36.45
29	33.24	36.68
80	23.55	36.69
69	24.35	36.70
43	29.31	37.13
67	24.78	37.16
13	40.24	37.19
39	30.09	37.21
47	27.80	37.24
83	23.65	37.40
35	31.01	37.41
33	31.21	37.59
32	31.05	37.66
46	28.14	37.88
11	41.63	37.93
21	35.88	37.95
79	23.93	37.98
71	24.53	38.12
38	29.64	38.12
31	31.81	38.31
55	27.14	38.53
66	25.42	38.56
73	24.44	38.57
14	39.03	38.65
37	31.06	38.76
57	26.18	38.97
25	34.79	39.29
49	27.36	39.54
16	38.64	39.87
20	35.97	40.06
10	41.31	40.16
36	30.54	40.35
5	47.80	40.41
50	27.80	40.44
28	33.07	40.68
17	37.86	40.72
8	44.32	41.66
22	36.10	41.85
30	32.15	41.96
3	50.28	42.30
12	41.01	42.56
4	48.76	42.60
44	28.89	43.27
19	37.22	43.44
64	25.12	43.60
7	44.63	43.62
72	23.51	44.62
6	46.57	45.47
15	39.51	46.02
2	54.30	52.44
0	75.72	56.33
9	43.58	65.06
1	60.79	78.71
