	loss	val_loss
60	27.66	35.88
55	27.85	36.22
62	27.17	36.48
65	26.77	36.56
71	25.94	36.66
77	25.89	36.77
39	30.24	36.82
36	31.04	36.95
78	25.43	36.97
46	29.06	36.98
49	28.67	36.99
45	29.47	37.00
57	27.51	37.06
40	30.48	37.07
53	28.20	37.27
84	24.94	37.28
70	26.04	37.28
32	31.93	37.28
79	25.33	37.32
56	28.00	37.34
76	25.46	37.37
67	26.58	37.47
85	24.96	37.54
47	29.20	37.56
75	25.46	37.58
29	32.99	37.62
19	37.19	37.63
54	27.69	37.80
52	28.20	37.86
58	27.31	37.98
63	26.91	38.03
68	26.56	38.05
83	25.09	38.07
51	28.76	38.09
37	31.15	38.09
72	25.98	38.13
26	34.03	38.23
27	33.29	38.26
41	30.37	38.42
43	30.32	38.43
28	33.77	38.52
38	30.96	38.53
81	25.05	38.54
22	35.54	38.55
73	25.68	38.63
25	34.27	38.70
74	25.77	38.70
69	26.49	38.83
82	25.12	38.86
16	38.81	38.88
23	34.91	38.91
24	34.68	39.05
50	28.39	39.11
10	42.63	39.15
34	31.95	39.18
48	28.97	39.27
30	32.71	39.34
14	40.05	39.41
35	31.53	39.42
61	27.08	39.46
64	27.11	39.54
31	32.29	39.57
66	26.63	39.60
80	25.14	39.63
42	29.84	40.23
44	29.57	40.49
15	39.54	41.06
33	32.16	41.30
59	27.21	41.60
20	36.58	42.21
17	38.32	42.40
6	46.06	42.87
12	41.49	42.93
21	35.83	43.02
9	44.06	43.20
18	37.23	43.92
4	48.28	44.83
11	42.16	45.03
13	40.79	46.39
5	47.52	46.43
8	44.64	47.41
7	45.39	47.60
1	54.90	47.85
0	64.12	52.23
3	50.43	53.15
2	52.15	55.08
