	loss	val_loss
63	17.54	33.55
38	19.83	33.59
50	18.11	33.91
33	20.78	34.04
34	20.74	34.24
62	17.31	34.25
20	24.21	34.37
24	22.97	34.46
36	20.18	34.52
56	17.89	34.52
51	18.61	34.62
14	28.00	34.71
22	23.53	34.94
61	17.66	35.01
15	27.06	35.04
19	25.03	35.07
52	18.07	35.16
11	30.80	35.19
23	23.34	35.20
39	19.37	35.26
25	22.23	35.31
13	28.31	35.32
47	18.51	35.39
12	30.17	35.50
59	17.46	35.59
35	20.34	35.60
41	19.64	35.62
17	25.75	35.73
60	17.42	35.84
58	17.65	35.91
31	20.84	35.98
55	17.99	35.99
26	22.48	36.05
45	18.82	36.11
46	18.68	36.47
29	21.72	36.62
16	26.50	36.69
54	18.36	36.82
27	22.09	36.91
10	31.77	36.97
44	19.19	37.08
30	21.56	37.13
53	18.03	37.22
18	25.10	37.32
40	19.53	37.44
32	21.25	37.54
4	41.75	37.57
28	21.82	38.01
49	18.32	38.05
8	34.56	38.20
21	23.73	38.45
57	17.68	38.49
37	19.98	38.56
48	18.30	38.62
9	32.94	39.03
43	18.97	39.85
7	36.33	40.82
2	45.83	43.05
42	19.49	43.51
6	37.95	45.37
3	43.06	45.78
0	66.66	47.90
5	39.81	50.79
1	50.54	59.39
