,set
126963,train
144523,train
134553,train
117997,train
139787,train
80951,train
137915,train
120316,train
162620,train
149743,train
116504,train
69904,train
111726,train
173995,train
72380,train
140726,train
128875,train
120267,train
151186,train
139315,train
126496,train
98479,train
119437,train
113264,train
127483,train
81912,train
107082,train
122687,train
94198,train
95147,train
114134,train
75710,train
135493,train
127894,train
128335,train
110348,train
116124,train
130282,train
128370,train
130287,train
131703,train
98946,train
130290,train
137394,train
122245,train
134596,train
91777,train
99948,train
137871,train
21445,train
126509,train
132682,train
71903,train
147870,train
80475,train
126513,train
126022,train
127892,train
128851,train
132185,train
120344,train
132668,train
124110,train
123217,train
18116,train
107057,train
132645,train
99949,train
130677,train
188340,train
126975,train
128405,train
103753,train
128365,train
110418,train
123657,train
99335,train
135054,train
130736,train
133126,train
86195,train
101288,train
111844,train
18593,train
88051,train
84733,train
127951,train
99810,train
105039,train
128888,train
84718,train
126056,train
138363,train
128388,train
130775,train
108513,train
109944,train
132629,train
95618,train
127420,train
122703,train
109430,train
133140,train
100344,train
115163,train
127438,train
139779,train
109469,train
122262,train
126498,train
137874,train
131233,train
53246,train
115571,train
100819,train
175878,train
134086,train
116996,train
125079,train
132626,train
165469,train
120798,train
118892,train
131698,train
114207,train
120806,train
114630,train
143125,train
127956,train
159741,train
104211,train
126936,train
145027,train
59021,train
125509,train
20020,train
118842,train
127857,train
139791,train
112789,train
144051,train
149454,train
140707,train
126512,train
126021,train
106470,train
114588,train
121753,train
135067,train
113731,train
117506,train
113204,train
133103,train
152615,train
132172,train
131730,train
120723,train
146907,train
128881,train
130768,train
161165,train
130773,train
123640,train
127459,train
132198,train
118960,train
124566,train
24790,train
135495,train
164994,train
94093,train
125990,train
97912,train
137881,train
139320,train
123633,train
135058,train
123646,train
124135,train
88010,train
133145,train
134092,train
135542,train
131250,train
123619,train
112693,train
83349,train
127421,train
129856,train
65736,train
105167,train
130291,train
153986,train
119812,train
120322,train
125541,train
141194,train
113660,train
139293,train
121772,train
150670,train
117495,train
130268,train
116561,train
97995,train
100760,train
97950,train
135017,train
135497,train
117406,train
140263,train
132197,train
77156,train
93241,train
131746,train
116091,train
122713,train
126982,train
171617,train
81911,train
134594,train
17641,train
124556,train
132162,train
119382,train
135055,train
99472,train
111240,train
122621,train
165468,train
133628,train
119840,train
102802,train
136960,train
130304,train
136017,train
126506,train
137399,train
115595,train
130761,train
128849,train
73351,train
135033,train
119863,train
212989,train
100759,train
120801,train
135536,train
123653,train
139283,train
145023,train
114092,train
145957,train
134560,train
132625,train
125555,train
122715,train
121740,train
130305,train
97421,train
135980,train
173998,train
171601,train
126500,train
88072,train
120250,train
132168,train
117000,train
134601,train
121768,train
131252,train
141208,train
103622,train
143602,train
80950,train
133599,train
124132,train
135556,train
121681,train
74753,train
127458,train
123180,train
128394,train
129346,train
138833,train
133645,train
101709,train
144521,train
136927,train
75228,train
143596,train
136026,train
124162,train
118452,train
98006,train
131700,train
140736,train
136034,train
131282,train
127450,train
87135,train
131253,train
128406,train
94195,train
140261,train
124609,train
88532,train
