	loss	val_loss
48	32.02	38.55
70	28.83	38.83
72	28.60	39.06
66	29.16	39.11
60	30.32	39.19
61	29.93	39.33
63	29.69	39.57
73	28.51	39.63
69	28.96	39.79
59	30.37	39.90
62	30.18	40.06
68	29.43	40.16
33	36.46	40.20
52	31.47	40.23
38	34.31	40.27
65	29.53	40.28
27	37.81	40.41
53	31.30	40.46
71	28.57	40.48
54	31.09	40.57
64	29.65	40.58
39	34.31	40.61
30	36.55	40.71
56	30.87	40.84
67	29.13	40.84
50	31.78	40.89
29	37.25	40.93
49	31.85	40.99
45	32.75	41.26
42	33.16	41.32
51	31.39	41.40
41	33.27	41.42
46	32.59	41.49
17	41.68	41.55
25	38.87	41.60
47	32.26	41.86
58	30.61	41.92
57	30.62	41.92
55	30.86	42.05
36	35.10	42.12
28	37.35	42.17
35	35.43	42.34
43	33.05	42.62
31	36.21	42.99
37	34.89	43.51
23	39.49	44.13
26	38.35	44.40
9	46.60	44.62
11	45.44	44.73
22	39.84	44.83
18	41.57	44.84
15	42.81	45.21
24	38.72	45.46
20	40.09	46.49
40	33.91	46.51
19	41.13	47.09
21	40.06	47.22
34	35.69	47.42
32	36.01	47.64
16	42.51	47.64
4	51.58	48.08
44	33.06	49.00
10	46.38	49.12
3	53.28	50.31
14	43.46	50.74
13	44.43	51.14
7	48.43	52.60
1	58.64	52.75
6	49.64	53.01
5	50.84	54.70
8	47.98	55.48
2	55.52	59.45
12	45.08	60.32
0	66.62	63.15
