,set
145473,train
135472,train
125086,train
110316,train
135084,train
128877,train
67505,train
149744,train
98389,train
153075,train
120350,train
70435,train
184540,train
75106,train
194908,train
136494,train
149930,train
146922,train
127922,train
131699,train
120345,train
161136,train
68056,train
119382,train
118926,train
120814,train
166381,train
122734,train
143572,train
112220,train
154991,train
81898,train
147101,train
129433,train
116557,train
129344,train
119868,train
141187,train
118467,train
108951,train
124115,train
126514,train
87575,train
132162,train
111726,train
103734,train
98427,train
127414,train
104697,train
94667,train
114631,train
115155,train
133577,train
90897,train
125032,train
114166,train
162594,train
147551,train
159267,train
118020,train
122209,train
135067,train
114678,train
84289,train
119840,train
135116,train
98431,train
5730,train
146421,train
82218,train
83819,train
117522,train
65268,train
127955,train
173041,train
122247,train
107468,train
123621,train
141698,train
133616,train
81894,train
87598,train
77156,train
132649,train
125570,train
130254,train
117524,train
114094,train
125077,train
132653,train
101326,train
173969,train
93276,train
131228,train
130732,train
174945,train
131204,train
178275,train
140237,train
124096,train
124163,train
195941,train
124083,train
121272,train
105099,train
164995,train
85198,train
91774,train
121199,train
146900,train
149002,train
164482,train
139932,train
86529,train
81409,train
120313,train
128835,train
86660,train
132321,train
122691,train
158717,train
77508,train
110329,train
110834,train
85246,train
146916,train
120794,train
94196,train
116463,train
70959,train
130769,train
185016,train
132691,train
127908,train
197288,train
77509,train
145497,train
134569,train
84283,train
50520,train
28065,train
130742,train
81909,train
134602,train
139310,train
118357,train
127885,train
191226,train
194911,train
93243,train
18118,train
126962,train
175516,train
106035,train
156805,train
126061,train
126074,train
170651,train
75714,train
84230,train
133153,train
69905,train
117481,train
130766,train
86063,train
120860,train
144051,train
79026,train
117470,train
111716,train
86191,train
135041,train
139908,train
97965,train
109791,train
83822,train
84720,train
87127,train
120327,train
87617,train
185965,train
171109,train
92664,train
151669,train
72405,train
77032,train
150225,train
98954,train
118908,train
145467,train
120318,train
191251,train
159743,train
134578,train
183590,train
131670,train
125994,train
163042,train
131743,train
180154,train
