	loss	val_loss
64	14.91	15.11
73	15.13	15.53
53	15.70	15.56
83	15.06	15.70
63	15.24	15.78
82	14.37	15.95
87	14.79	15.96
78	14.96	16.03
84	14.83	16.06
45	16.14	16.10
81	14.60	16.12
89	14.66	16.17
34	16.22	16.23
33	16.39	16.27
74	14.81	16.28
56	15.81	16.39
66	15.04	16.40
70	14.92	16.43
41	16.18	16.49
72	14.89	16.50
67	15.12	16.54
68	15.16	16.58
75	14.64	16.59
85	14.82	16.62
43	15.99	16.64
86	14.70	16.83
60	15.12	16.91
88	14.66	16.94
46	15.88	17.02
76	14.80	17.05
69	15.04	17.08
71	14.97	17.16
40	16.05	17.17
38	16.34	17.19
80	14.78	17.21
79	14.49	17.24
50	15.97	17.30
36	16.77	17.31
51	15.49	17.47
12	19.43	17.58
39	16.25	17.60
30	16.55	17.60
52	15.69	17.69
29	16.63	17.77
35	16.38	17.78
77	14.59	17.95
59	15.24	18.02
20	18.07	18.06
24	17.74	18.22
54	15.37	18.29
47	15.54	18.32
16	19.15	18.38
27	17.22	18.42
19	18.30	18.47
65	15.50	18.56
32	16.45	18.59
26	17.20	18.63
14	19.09	18.63
62	15.09	18.64
23	17.82	18.70
55	15.72	18.72
13	19.14	18.78
58	15.49	18.83
61	15.19	18.95
25	17.63	19.05
18	18.37	19.10
42	15.93	19.50
57	15.46	19.54
48	15.90	19.73
17	18.48	19.82
37	16.38	19.92
49	15.79	20.08
7	21.85	20.13
10	20.44	20.31
44	16.12	20.46
11	20.09	20.46
9	21.00	20.84
21	17.88	21.02
15	18.63	21.13
28	17.05	21.31
22	17.72	22.04
5	24.08	22.11
4	25.28	22.84
31	17.00	23.11
3	27.06	23.63
6	23.17	23.72
8	21.70	23.89
2	29.49	24.51
1	35.60	32.08
0	63.27	44.81
