,set
131735,train
136029,train
120805,train
136027,train
144548,train
115579,train
126490,train
127482,train
100425,train
128832,train
122687,train
120786,train
120768,train
135025,train
119822,train
106942,train
88088,train
105996,train
134568,train
129328,train
129785,train
131738,train
121278,train
108956,train
123217,train
140742,train
120815,train
140745,train
117957,train
117029,train
127443,train
146923,train
128876,train
76678,train
122716,train
123168,train
117028,train
108953,train
126483,train
128365,train
129789,train
120780,train
142173,train
136008,train
121245,train
132650,train
137872,train
137889,train
117511,train
143122,train
125055,train
127472,train
131683,train
133584,train
138365,train
135550,train
139299,train
138359,train
131263,train
138846,train
133618,train
133616,train
141221,train
141219,train
133639,train
87534,train
103755,train
128864,train
125083,train
123653,train
113263,train
129841,train
120767,train
125091,train
131214,train
139315,train
127429,train
133136,train
16692,train
134562,train
125070,train
129784,train
123635,train
129824,train
133615,train
125559,train
121263,train
105047,train
133139,train
136923,train
138349,train
124618,train
140244,train
60987,train
99948,train
124132,train
126008,train
138815,train
137878,train
135543,train
123667,train
126464,train
126921,train
121266,train
126039,train
130781,train
132221,train
106946,train
133148,train
87126,train
120315,train
124147,train
72729,train
138817,train
130258,train
117507,train
131753,train
125530,train
135083,train
130753,train
129816,train
124093,train
105521,train
115165,train
124145,train
115161,train
132665,train
145484,train
145021,train
134571,train
135040,train
129840,train
126938,train
144075,train
142164,train
118422,train
103279,train
130260,train
145492,train
141686,train
116994,train
142160,train
139779,train
131723,train
125079,train
137888,train
121740,train
123180,train
143111,train
106471,train
138394,train
131740,train
131261,train
121320,train
80952,train
143597,train
140727,train
130738,train
127957,train
137437,train
128852,train
126010,train
194991,train
127008,train
126956,train
131728,train
144066,train
107418,train
132702,train
132683,train
129831,train
130743,train
132164,train
132181,train
138346,train
134576,train
120844,train
132634,train
132681,train
142642,train
120814,train
127440,train
129308,train
126996,train
105522,train
122243,train
123691,train
131701,train
126479,train
145965,train
127883,train
136938,train
132203,train
130739,train
132151,train
135043,train
133147,train
138370,train
136939,train
107420,train
140260,train
104228,train
144533,train
143125,train
98521,train
129318,train
124580,train
115166,train
135969,train
128833,train
124621,train
123618,train
122270,train
130290,train
102254,train
126935,train
129796,train
180654,train
128431,train
133135,train
126520,train
138832,train
119839,train
129348,train
121265,train
123166,train
123643,train
132701,train
137441,train
145957,train
132657,train
120329,train
134586,train
127438,train
123652,train
94194,train
118896,train
137410,train
125538,train
116996,train
102803,train
139785,train
114220,train
121746,train
137884,train
128906,train
128403,train
130768,train
135071,train
134550,train
117949,train
126024,train
132177,train
127420,train
126502,train
121242,train
128368,train
126006,train
101378,train
120289,train
139313,train
196338,train
194914,train
121741,train
133614,train
126036,train
139767,train
125552,train
116055,train
140741,train
164994,train
128875,train
133633,train
127918,train
132685,train
135546,train
132654,train
135041,train
118415,train
126494,train
97894,train
134569,train
129360,train
138819,train
128877,train
134551,train
132175,train
138351,train
131212,train
134106,train
128850,train
129344,train
126978,train
103752,train
138863,train
128411,train
137864,train
121291,train
120781,train
124134,train
144068,train
134107,train
